firm_num,round,firm_id,price,price_reason,profit,sale_num,revenue,share_rate,share_rate_predicted
1,1,F0,0.5,"Change price: 0.00, reason: Monopoly with uniform valuations, optimal price is 0.50.",5.0,10,5.0,0.0,"[0.45568648666230216, 'adaptive']"
1,2,F0,0.5,"Change price: 0.00, reason: Monopoly with uniform valuations and no competition, optimal price remains 0.50.",5.0,10,5.0,0.0,"[0.0, 'adaptive']"
1,3,F0,0.5,"Change price: 0.00, reason: Monopoly with uniform valuations and no competition, optimal price remains 0.50.",5.0,10,5.0,0.0,"[0.0, 'adaptive']"
1,4,F0,0.5,"Change price: 0.00, reason: Monopoly with uniform valuations, no competition, and zero share rate, optimal price remains 0.50.",5.0,10,5.0,0.0,"[0.0, 'adaptive']"
1,5,F0,0.5,"Change price: 0.00, reason: Monopoly with uniform valuations, no competition, and zero share rate, optimal price unchanged.",5.0,10,5.0,0.0,"[0.0, 'adaptive']"
1,6,F0,0.5,"Change price: 0.00, reason: Monopoly with uniform valuations, no competition, and zero share rate, optimal price unchanged.",5.0,10,5.0,0.0,"[0.0, 'adaptive']"
1,7,F0,0.5,"Change price: 0.00, reason: Monopoly with uniform valuations, no competition, and zero share rate, optimal price unchanged.",5.0,10,5.0,0.0,"[0.0, 'adaptive']"
1,8,F0,0.5,"Change price: 0.00, reason: Monopoly with uniform valuations, no competition, and zero share rate, optimal price unchanged.",5.0,10,5.0,0.0,"[0.0, 'adaptive']"
1,9,F0,0.5,"Change price: 0.00, reason: Monopoly with uniform valuations, no competition, and zero share rate, optimal price unchanged.",5.0,10,5.0,0.0,"[0.0, 'adaptive']"
1,10,F0,0.5,"Change price: 0.00, reason: Monopoly with uniform valuations, no competition, and zero share rate, optimal price unchanged.",5.0,10,5.0,0.0,"[0.0, 'adaptive']"
2,1,F0,0.5,"Change price: 0.00, reason: High share rate ensures strong customer loyalty, supporting basic price for profit maximization.",3.0,6,3.0,0.05,"[0.9170137100470614, 'adaptive']"
2,1,F1,0.49,"Change price: -0.01, reason: low data sharing increases competition, so undercut to capture more market share.",2.45,5,2.45,0.05,"[0.09041299803854774, 'adaptive']"
2,2,F0,0.49,"Change price: -0.01, reason: low predicted share rate increases competition and reduces loyalty, so slight undercutting to capture more market share.",1.47,3,1.47,0.0,"[0.05, 'adaptive']"
2,2,F1,0.5,"Change price: 0.01, reason: Undercutting failed to gain market share last round, so increase to match competitor and boost profit margin with random recommendation effects.",3.5,7,3.5,0.0,"[0.05, 'adaptive']"
2,3,F0,0.5,"Change price: 0.01, reason: Undercutting reduced sales and profit last round, so increase to match competitor's price and boost margin.",3.0,6,3.0,0.0,"[0.0, 'adaptive']"
2,3,F1,0.5,"Change price: 0.00, reason: Maintain price after high profit with low share rate.",2.5,5,2.5,0.0,"[0.0, 'adaptive']"
2,4,F0,0.5,"Change price: 0.00, reason: Maintain price to sustain profit margin with low share rate and proven success in matching competitor's price.",3.0,6,3.0,0.0,"[0.0, 'adaptive']"
2,4,F1,0.5,"Change price: 0.00, reason: Maintain price to maximize profit with low share rate and equal competitor pricing.",2.0,4,2.0,0.0,"[0.0, 'adaptive']"
2,5,F0,0.5,"Change price: 0.00, reason: Maintain price to sustain profit margin with low share rate and proven success in matching competitor's price.",2.5,5,2.5,0.0,"[0.0, 'adaptive']"
2,5,F1,0.49,"Change price: -0.01, reason: Undercut to capture more market share with zero share rate enabling full price competition.",1.96,4,1.96,0.0,"[0.0, 'adaptive']"
2,6,F0,0.5,"Change price: 0.00, reason: Maintain price to maximize profit with low share rate and stable demand pattern.",2.5,5,2.5,0.0,"[0.0, 'adaptive']"
