firm_num,round,consumer_id,share,share_reason,final_choice,final_reason,decision_sequence,total_revenue
6,1,C15,True,"Yes, because the potential reduction in search costs from personalized recommendations with 6 firms outweighs the privacy value of 0.029.",1,"### Decision:  
I'll **purchase Firm 1** (choose number 1) because:  
- The firm offers a positive profit of 0.42, which exceeds the privacy cost and search cost.  
- As a rational consumer, I won't leave without buying when a positive profit option exists.","C15 Search #1 (Searched:1/6, SearchCost:0.00, BestProfit:0.42@F1) → Purchase F1",0.39
6,2,C15,True,"Yes, because the potential search cost savings from personalized recommendations with 6 firms likely exceed the 0.029 privacy value.",1,"### Decision:  
I'll **purchase Firm 1** (choose number 1) because:  
- The firm offers a positive profit of 0.37, resulting in total revenue of approximately 0.341 after costs.  
- As a rational consumer, I won't leave without buying when a positive profit option exists.","C15 Search #1 (Searched:1/6, SearchCost:0.00, BestProfit:0.37@F1) → Purchase F1",0.34
6,3,C15,True,"Yes, because the potential reduction in search costs from personalized recommendations with 6 firms outweighs the 0.029 privacy value.",1,"### Decision:  
I'll **purchase Firm 1** (choose number 1) because:  
- The firm offers a positive profit of 0.32, resulting in total revenue of approximately 0.291 after costs.  
- As a rational consumer, I won't leave without buying when a positive profit option exists.","C15 Search #1 (Searched:1/6, SearchCost:0.00, BestProfit:0.32@F1) → Purchase F1",0.29
6,4,C15,True,"Yes, because the potential search cost savings from personalized recommendations with 6 firms likely exceed the 0.029 privacy value.",1,"### Decision:  
I'll **purchase Firm 1** (choose number 1) because:  
- The firm offers a positive profit of 0.27, resulting in positive total revenue after costs.  
- As a rational consumer, I won't leave without buying when a positive profit option exists.","C15 Search #1 (Searched:1/6, SearchCost:0.00, BestProfit:0.27@F1) → Purchase F1",0.24
6,5,C15,True,"Yes, because the potential search cost savings from personalized recommendations with 6 firms outweigh the 0.029 privacy value.",1,"### Decision:  
I'll **purchase Firm 1** (choose number 1) because:  
- The firm offers a positive profit of 0.22, resulting in positive total revenue after costs.  
- As a rational consumer, I won't leave without buying when a positive profit option exists.","C15 Search #1 (Searched:1/6, SearchCost:0.00, BestProfit:0.22@F1) → Purchase F1",0.19
6,6,C15,True,"Yes, because the potential search cost savings from personalized recommendations with 6 firms outweigh the 0.029 privacy value.",1,"### Decision:  
I'll **purchase Firm 1** (choose number 1) because:  
- The firm offers a positive profit of 0.17.  
- As a rational consumer, I won't leave without buying when a positive profit option exists.","C15 Search #1 (Searched:1/6, SearchCost:0.00, BestProfit:0.17@F1) → Purchase F1",0.14
6,7,C15,True,"Yes, because the potential search cost savings from personalized recommendations with 6 firms outweigh the 0.029 privacy value.",1,"### Decision:  
I'll **purchase Firm 1** (choose number 1) because:  
- The firm offers a positive profit of 0.22.  
- As a rational consumer, I won't leave without buying when a positive profit option exists.","C15 Search #1 (Searched:1/6, SearchCost:0.00, BestProfit:0.22@F1) → Purchase F1",0.19
6,8,C15,True,"Yes, because the potential search cost savings from personalized recommendations with 6 firms outweigh the 0.029 privacy value.",1,"### Decision:  
I'll **purchase Firm 1** (choose number 1) because:  
- The firm offers a positive profit of 0.17.  
- As a rational consumer, I won't leave without buying when a positive profit option exists.","C15 Search #1 (Searched:1/6, SearchCost:0.00, BestProfit:0.17@F1) → Purchase F1",0.14
6,9,C15,True,"Yes, because the potential search cost savings from personalized recommendations with 6 firms outweigh the 0.029 privacy value.",1,"### Decision:  
I'll **purchase Firm 1** (choose number 1) because:  
- The firm offers a positive profit of 0.22.  
- As a rational consumer, I won't leave without buying when a positive profit option exists.","C15 Search #1 (Searched:1/6, SearchCost:0.00, BestProfit:0.22@F1) → Purchase F1",0.19
6,10,C15,True,"Yes, because the potential reduction in search costs from personalized recommendations with 6 firms outweighs the 0.029 privacy value.",1,"### Decision:  
I'll **purchase Firm 1** (choose number 1) because:  
- The firm offers a positive profit of 0.17.  
- As a rational consumer, I won't leave without buying when a positive profit option exists.","C15 Search #1 (Searched:1/6, SearchCost:0.00, BestProfit:0.17@F1) → Purchase F1",0.14
