firm_num,round,firm_id,price,price_reason,profit,sale_num,revenue,share_rate,share_rate_predicted
5,1,F1,0.5,"Change price: 0.00, reason: Optimal price for profit maximization with full data sharing and equal recommendations.",2.0,4,2.0,1.0,"[1.0, 'equilibrium']"
5,2,F1,0.5,"Change price: 0.00, reason: Optimal for symmetric equilibrium with full data sharing.",2.0,4,2.0,1.0,"[1.0, 'equilibrium']"
5,3,F1,0.5,"Change price: 0.00, reason: Optimal for maximizing profit in symmetric equilibrium with full data sharing and equal recommendations.",2.0,4,2.0,1.0,"[1.0, 'equilibrium']"
5,4,F1,0.5,"Change price: 0.00, reason: Optimal to maintain profit in symmetric equilibrium with full share rate and equal recommendations.",2.0,4,2.0,1.0,"[1.0, 'equilibrium']"
5,5,F1,0.5,"Change price: 0.00, reason: Optimal to maintain profit in symmetric equilibrium with full share rate and consistent historical sales.",2.0,4,2.0,1.0,"[1.0, 'equilibrium']"
5,6,F1,0.5,"Change price: 0.00, reason: Optimal to maintain profit in symmetric equilibrium with full share rate and consistent historical sales.",2.0,4,2.0,1.0,"[1.0, 'equilibrium']"
5,7,F1,0.5,"Change price: 0.00, reason: Optimal to maintain profit in symmetric equilibrium with full share rate and consistent sales.",2.0,4,2.0,1.0,"[1.0, 'equilibrium']"
5,8,F1,0.5,"Change price: 0.00, reason: Optimal to maintain profit in symmetric equilibrium with full share rate and consistent historical sales.",2.0,4,2.0,1.0,"[1.0, 'equilibrium']"
5,9,F1,0.5,"Change price: 0.00, reason: Optimal to maintain profit in symmetric equilibrium with full share rate and consistent sales history.",2.0,4,2.0,1.0,"[1.0, 'equilibrium']"
5,10,F1,0.5,"Change price: 0.00, reason: Optimal to maximize profit at symmetric equilibrium with full share rate and consistent sales history.",2.0,4,2.0,1.0,"[1.0, 'equilibrium']"
