firm_num,round,firm_id,price,price_reason,profit,sale_num,revenue,share_rate,share_rate_predicted
4,1,F2,0.58,"Change price: 0.08, reason: high share rate boosts demand via recommendations.",1.74,3,1.74,0.7,"[0.7, 'equilibrium']"
4,2,F2,0.6,"Change price: 0.02, reason: high share rate and competitor success with higher prices justify price increase to boost profit.",1.8,3,1.8,0.7,"[0.7, 'equilibrium']"
4,3,F2,0.62,"Change price: 0.02, reason: high share rate and stable demand justify price increase to boost profit.",1.86,3,1.86,0.7,"[0.7, 'equilibrium']"
4,4,F2,0.64,"Change price: 0.02, reason: high share rate and stable sales justify price increase to boost profit.",1.92,3,1.92,0.7,"[0.7, 'equilibrium']"
4,5,F2,0.66,"Change price: 0.02, reason: high share rate and stable sales justify price increase to boost profit.",1.98,3,1.98,0.7,"[0.7, 'equilibrium']"
4,6,F2,0.68,"Change price: 0.02, reason: high share rate and stable sales justify price increase to boost profit.",2.04,3,2.04,0.7,"[0.7, 'equilibrium']"
4,7,F2,0.7,"Change price: 0.02, reason: high share rate and stable sales justify price increase to boost profit.",1.4,2,1.4,0.7,"[0.7, 'equilibrium']"
4,8,F2,0.68,"Change price: -0.02, reason: price increase reduced sales, lowering to boost demand and profit.",2.04,3,2.04,0.7,"[0.7, 'equilibrium']"
4,9,F2,0.68,"Change price: 0.00, reason: stable share rate and consistent sales history justify maintaining price to avoid risk and sustain profit.",2.04,3,2.04,0.7,"[0.7, 'equilibrium']"
4,10,F2,0.6,"Change price: -0.08, reason: lower price to match competitors and increase sales volume for higher profit.",1.8,3,1.8,0.7,"[0.7, 'equilibrium']"
