# Experiment Configuration:,"Rational: Share, Search, Price",,,,
# Firm Count:,4,,,,
Round,share_ratio,consumer_surplus,firm_surplus,avg_search_cost,avg_price
1,0.684548,0.186283,0.129563,0.012317,0.589403
2,0.684548,0.186283,0.129563,0.012317,0.589403
3,0.684548,0.186283,0.129563,0.012317,0.589403
4,0.684548,0.186283,0.129563,0.012317,0.589403
5,0.684548,0.186283,0.129563,0.012317,0.589403
6,0.684548,0.186283,0.129563,0.012317,0.589403
7,0.684548,0.186283,0.129563,0.012317,0.589403
8,0.684548,0.186283,0.129563,0.012317,0.589403
9,0.684548,0.186283,0.129563,0.012317,0.589403
10,0.684548,0.186283,0.129563,0.012317,0.589403
