# Experiment Configuration:,"Rational: Share, Search, Price",,,,
# Firm Count:,3,,,,
Round,share_ratio,consumer_surplus,firm_surplus,avg_search_cost,avg_price
1,0.246473,0.274327,0.137359,0.021694,0.454914
2,0.246473,0.274327,0.137359,0.021694,0.454914
3,0.246473,0.274327,0.137359,0.021694,0.454914
4,0.246473,0.274327,0.137359,0.021694,0.454914
5,0.246473,0.274327,0.137359,0.021694,0.454914
6,0.246473,0.274327,0.137359,0.021694,0.454914
7,0.246473,0.274327,0.137359,0.021694,0.454914
8,0.246473,0.274327,0.137359,0.021694,0.454914
9,0.246473,0.274327,0.137359,0.021694,0.454914
10,0.246473,0.274327,0.137359,0.021694,0.454914
