firm_num,round,firm_id,price,price_reason,profit,sale_num,revenue,share_rate,share_rate_predicted
6,1,F2,0.55,"Change price: 0.05, reason: High share rate reduces consumer search, allowing higher pricing despite competition.",2.75,5,2.75,1.0,"[0.922218285987942, 'adaptive']"
6,2,F2,0.55,"Change price: 0.00, reason: High share rate sustains reduced search, maximizing profit with current optimal price.",2.75,5,2.75,1.0,"[1.0, 'adaptive']"
6,3,F2,0.55,"Change price: 0.00, reason: High share rate maintains reduced search, sustaining optimal profit with current price.",2.75,5,2.75,1.0,"[1.0, 'adaptive']"
6,4,F2,0.55,"Change price: 0.00, reason: High share rate reduces search, sustaining optimal profit with current price.",2.75,5,2.75,1.0,"[1.0, 'adaptive']"
6,5,F2,0.55,"Change price: 0.00, reason: High share rate reduces search, maintaining optimal profit with current price.",2.75,5,2.75,1.0,"[1.0, 'adaptive']"
6,6,F2,0.55,"Change price: 0.00, reason: High share rate sustains reduced search, optimizing profit with current stable sales.",2.75,5,2.75,1.0,"[1.0, 'adaptive']"
6,7,F2,0.55,"Change price: 0.00, reason: High share rate and stable sales maintain optimal profit, avoiding risk from price changes.",2.75,5,2.75,0.95,"[1.0, 'adaptive']"
6,8,F2,0.55,"Change price: 0.00, reason: High share rate and stable sales maintain optimal profit, avoiding risk from price changes.",2.75,5,2.75,1.0,"[0.95, 'adaptive']"
6,9,F2,0.55,"Change price: 0.00, reason: High share rate and stable sales maintain optimal profit, avoiding risk from price changes.",2.75,5,2.75,1.0,"[1.0, 'adaptive']"
6,10,F2,0.55,"Change price: 0.00, reason: High share rate and stable sales maintain optimal profit, avoiding risk from price changes.",2.75,5,2.75,1.0,"[1.0, 'adaptive']"
