# Experiment Configuration:,"Rational: Share, Search, Price"
# Firm Count:,4
Round,share_ratio,consumer_surplus,firm_surplus,avg_search_cost,avg_price
1,0.684748,0.198358,0.129489,0.012296,0.589466
2,0.684748,0.198358,0.129489,0.012296,0.589466
3,0.684748,0.198358,0.129489,0.012296,0.589466
4,0.684748,0.198358,0.129489,0.012296,0.589466
5,0.684748,0.198358,0.129489,0.012296,0.589466
6,0.684748,0.198358,0.129489,0.012296,0.589466
7,0.684748,0.198358,0.129489,0.012296,0.589466
8,0.684748,0.198358,0.129489,0.012296,0.589466
9,0.684748,0.198358,0.129489,0.012296,0.589466
10,0.684748,0.198358,0.129489,0.012296,0.589466
