# Experiment Configuration:,"Rational: Share, Search, Price"
# Firm Count:,10
Round,share_ratio,consumer_surplus,firm_surplus,avg_search_cost,avg_price
1,1.000000,0.088852,0.071503,0.000000,0.786793
2,1.000000,0.088852,0.071503,0.000000,0.786793
3,1.000000,0.088852,0.071503,0.000000,0.786793
4,1.000000,0.088852,0.071503,0.000000,0.786793
5,1.000000,0.088852,0.071503,0.000000,0.786793
6,1.000000,0.088852,0.071503,0.000000,0.786793
7,1.000000,0.088852,0.071503,0.000000,0.786793
8,1.000000,0.088852,0.071503,0.000000,0.786793
9,1.000000,0.088852,0.071503,0.000000,0.786793
10,1.000000,0.088852,0.071503,0.000000,0.786793
