# Experiment Configuration:,"Rational: Share, Search, Price"
# Firm Count:,5
Round,share_ratio,consumer_surplus,firm_surplus,avg_search_cost,avg_price
1,1.000000,0.113776,0.116413,0.000000,0.698827
2,1.000000,0.113776,0.116413,0.000000,0.698827
3,1.000000,0.113776,0.116413,0.000000,0.698827
4,1.000000,0.113776,0.116413,0.000000,0.698827
5,1.000000,0.113776,0.116413,0.000000,0.698827
6,1.000000,0.113776,0.116413,0.000000,0.698827
7,1.000000,0.113776,0.116413,0.000000,0.698827
8,1.000000,0.113776,0.116413,0.000000,0.698827
9,1.000000,0.113776,0.116413,0.000000,0.698827
10,1.000000,0.113776,0.116413,0.000000,0.698827

