# Experiment Configuration:,"Rational: Share, Search, Price"
# Firm Count:,9
Round,share_ratio,consumer_surplus,firm_surplus,avg_search_cost,avg_price
1,1.000000,0.093426,0.077390,0.000000,0.774264
2,1.000000,0.093426,0.077390,0.000000,0.774264
3,1.000000,0.093426,0.077390,0.000000,0.774264
4,1.000000,0.093426,0.077390,0.000000,0.774264
5,1.000000,0.093426,0.077390,0.000000,0.774264
6,1.000000,0.093426,0.077390,0.000000,0.774264
7,1.000000,0.093426,0.077390,0.000000,0.774264
8,1.000000,0.093426,0.077390,0.000000,0.774264
9,1.000000,0.093426,0.077390,0.000000,0.774264
10,1.000000,0.093426,0.077390,0.000000,0.774264

