# Experiment Configuration:,"Rational: Share, Search, Price"
# Firm Count:,1
Round,share_ratio,consumer_surplus,firm_surplus,avg_search_cost,avg_price
1,0.000000,0.124863,0.249765,0.000000,0.500000
2,0.000000,0.124863,0.249765,0.000000,0.500000
3,0.000000,0.124863,0.249765,0.000000,0.500000
4,0.000000,0.124863,0.249765,0.000000,0.500000
5,0.000000,0.124863,0.249765,0.000000,0.500000
6,0.000000,0.124863,0.249765,0.000000,0.500000
7,0.000000,0.124863,0.249765,0.000000,0.500000
8,0.000000,0.124863,0.249765,0.000000,0.500000
9,0.000000,0.124863,0.249765,0.000000,0.500000
10,0.000000,0.124863,0.249765,0.000000,0.500000
