# Experiment Configuration:,"Rational: Share, Search, Price"
# Firm Count:,8
Round,share_ratio,consumer_surplus,firm_surplus,avg_search_cost,avg_price
1,1.000000,0.098436,0.084412,0.000000,0.759836
2,1.000000,0.098436,0.084412,0.000000,0.759836
3,1.000000,0.098436,0.084412,0.000000,0.759836
4,1.000000,0.098436,0.084412,0.000000,0.759836
5,1.000000,0.098436,0.084412,0.000000,0.759836
6,1.000000,0.098436,0.084412,0.000000,0.759836
7,1.000000,0.098436,0.084412,0.000000,0.759836
8,1.000000,0.098436,0.084412,0.000000,0.759836
9,1.000000,0.098436,0.084412,0.000000,0.759836
10,1.000000,0.098436,0.084412,0.000000,0.759836

