# Experiment Configuration:,"Rational: Share, Search, Price"
# Firm Count:,7
Round,share_ratio,consumer_surplus,firm_surplus,avg_search_cost,avg_price
1,1.000000,0.103661,0.092930,0.000000,0.742997
2,1.000000,0.103661,0.092930,0.000000,0.742997
3,1.000000,0.103661,0.092930,0.000000,0.742997
4,1.000000,0.103661,0.092930,0.000000,0.742997
5,1.000000,0.103661,0.092930,0.000000,0.742997
6,1.000000,0.103661,0.092930,0.000000,0.742997
7,1.000000,0.103661,0.092930,0.000000,0.742997
8,1.000000,0.103661,0.092930,0.000000,0.742997
9,1.000000,0.103661,0.092930,0.000000,0.742997
10,1.000000,0.103661,0.092930,0.000000,0.742997
