# Experiment Configuration:,"Rational: Share, Search, Price"
# Firm Count:,6
Round,share_ratio,consumer_surplus,firm_surplus,avg_search_cost,avg_price
1,1.000000,0.108814,0.103299,0.000000,0.723020
2,1.000000,0.108814,0.103299,0.000000,0.723020
3,1.000000,0.108814,0.103299,0.000000,0.723020
4,1.000000,0.108814,0.103299,0.000000,0.723020
5,1.000000,0.108814,0.103299,0.000000,0.723020
6,1.000000,0.108814,0.103299,0.000000,0.723020
7,1.000000,0.108814,0.103299,0.000000,0.723020
8,1.000000,0.108814,0.103299,0.000000,0.723020
9,1.000000,0.108814,0.103299,0.000000,0.723020
10,1.000000,0.108814,0.103299,0.000000,0.723020
