# Experiment Configuration:,"Rational: Share, Search, Price"
# Firm Count:,3
Round,share_ratio,consumer_surplus,firm_surplus,avg_search_cost,avg_price
1,0.246473,0.295976,0.137286,0.021708,0.454859
2,0.246473,0.295976,0.137286,0.021708,0.454859
3,0.246473,0.295976,0.137286,0.021708,0.454859
4,0.246473,0.295976,0.137286,0.021708,0.454859
5,0.246473,0.295976,0.137286,0.021708,0.454859
6,0.246473,0.295976,0.137286,0.021708,0.454859
7,0.246473,0.295976,0.137286,0.021708,0.454859
8,0.246473,0.295976,0.137286,0.021708,0.454859
9,0.246473,0.295976,0.137286,0.021708,0.454859
10,0.246473,0.295976,0.137286,0.021708,0.454859



