firm_num,round,firm_id,price,price_reason,profit,sale_num,revenue,share_rate,share_rate_predicted
10,1,F9,0.5,"Change price: 0.00, reason: High competition and full data sharing make basic price optimal for profit.",0.5,1,0.5,1.0,"[1.0, 'equilibrium']"
10,2,F9,0.5,"Change price: 0.00, reason: Optimal for maximizing profit with full data sharing and symmetric competition.",0.5,1,0.5,1.0,"[1.0, 'equilibrium']"
10,3,F9,0.5,"Change price: 0.00, reason: Optimal for maximizing profit with full data sharing and symmetric competition.",0.5,1,0.5,1.0,"[1.0, 'equilibrium']"
10,4,F9,0.5,"Change price: 0.00, reason: Optimal for maximizing expected profit with full data sharing and symmetric competition.",0.5,1,0.5,1.0,"[1.0, 'equilibrium']"
10,5,F9,0.5,"Change price: 0.00, reason: Optimal for maximizing profit with full data sharing and symmetric competition, as predicted by uniform valuations and historical equilibrium.",0.5,1,0.5,1.0,"[1.0, 'equilibrium']"
10,6,F9,0.5,"Change price: 0.00, reason: Optimal for maximizing profit with full data sharing, uniform valuations, and symmetric competition, maintaining expected revenue.",0.5,1,0.5,1.0,"[1.0, 'equilibrium']"
10,7,F9,0.5,"Change price: 0.00, reason: Optimal for maximizing profit with full data sharing, symmetric competition, and uniform valuations.",0.5,1,0.5,1.0,"[1.0, 'equilibrium']"
10,8,F9,0.5,"Change price: 0.00, reason: Optimal for maximizing profit with full data sharing, symmetric competition, and uniform valuations.",0.5,1,0.5,1.0,"[1.0, 'equilibrium']"
10,9,F9,0.5,"Change price: 0.00, reason: Optimal for maximizing profit with full data sharing, symmetric competition, and historical equilibrium at 0.5.",0.5,1,0.5,1.0,"[1.0, 'equilibrium']"
10,10,F9,0.5,"Change price: 0.00, reason: Optimal for maximizing profit with full data sharing, symmetric competition, and historical equilibrium at 0.50, balancing sales and price.",0.5,1,0.5,1.0,"[1.0, 'equilibrium']"
